gameId,teamName,Q,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,assists,steals,blocks,turnovers,foulsPersonal,points,resultado
22000023,Pistons,3,11,18,3,8,8,10,0,14,7,3,4,6,3,33,L
22000023,Pistons,4,6,23,2,12,1,1,5,9,3,4,0,5,6,15,L
22000023,Pistons,5,4,6,2,2,1,2,1,1,2,0,0,3,1,11,L
22000023,Pistons,6,2,7,0,3,3,4,1,2,0,0,0,1,2,7,L
22000024,Magic,1,13,22,3,7,3,4,0,12,4,2,0,5,6,32,W
22000024,Magic,2,9,24,2,9,11,13,6,9,5,4,0,3,7,31,W
22000024,Magic,3,11,25,3,8,4,5,3,12,6,1,0,4,5,29,W
22000024,Magic,4,15,24,3,7,5,7,2,10,10,1,0,1,3,38,W
22000024,Wizards,1,11,25,5,11,5,8,2,9,7,1,1,5,5,32,L
22000024,Wizards,2,9,18,4,8,5,8,1,10,7,0,0,6,8,27,L
22000024,Wizards,3,14,29,2,8,2,5,3,10,7,3,1,1,5,32,L
22000024,Wizards,4,12,23,2,10,3,7,1,7,7,1,1,2,7,29,L
22000025,76ers,1,11,27,3,9,2,4,5,9,3,2,2,1,6,27,W
22000025,76ers,2,12,21,2,7,7,8,1,9,8,1,1,3,5,33,W
22000025,76ers,3,11,23,3,9,1,2,3,8,7,3,3,2,4,26,W
22000025,76ers,4,7,17,3,6,6,8,3,9,2,3,0,6,4,23,W
22000025,Knicks,1,10,24,3,9,4,7,4,10,4,1,2,2,3,27,L
22000025,Knicks,2,10,23,3,9,5,7,5,5,6,1,0,4,8,28,L
22000025,Knicks,3,6,19,1,4,1,2,3,7,4,1,2,6,4,14,L
22000025,Knicks,4,6,17,1,7,7,7,1,8,5,3,0,4,8,20,L
22000026,Bulls,1,9,26,4,10,6,7,3,8,7,0,1,2,2,28,L
22000026,Bulls,2,10,21,4,9,4,5,3,7,5,2,1,9,9,28,L
22000026,Bulls,3,6,23,3,10,0,0,3,6,5,1,1,6,1,15,L
22000026,Bulls,4,9,21,5,10,12,13,4,7,6,4,4,3,4,35,L
22000026,Pacers,1,13,25,1,7,0,2,2,11,7,2,2,2,6,27,W
22000026,Pacers,2,14,21,2,6,9,14,2,8,9,7,0,4,6,39,W
22000026,Pacers,3,14,23,4,7,1,1,1,13,11,4,2,5,5,33,W
22000026,Pacers,4,11,24,2,6,2,2,4,8,7,2,0,5,9,26,W
22000027,Raptors,1,16,26,4,8,3,4,5,7,13,4,1,2,5,39,L
22000027,Raptors,2,7,23,2,12,3,4,2,13,4,1,1,5,5,19,L
22000027,Raptors,3,10,24,3,11,5,7,2,8,7,2,4,3,6,28,L
22000027,Raptors,4,11,23,6,10,0,0,1,8,8,1,3,1,7,28,L
22000027,Spurs,1,13,26,4,11,3,3,4,4,10,1,0,4,6,33,W
22000027,Spurs,2,12,27,4,8,0,0,1,14,9,2,1,3,5,28,W
22000027,Spurs,3,12,22,3,7,3,7,4,11,9,1,2,7,7,30,W
22000027,Spurs,4,10,25,3,8,5,6,5,10,8,0,0,2,2,28,W
22000028,Jazz,1,10,24,3,6,4,4,4,8,7,1,2,7,4,27,L
22000028,Jazz,2,7,21,2,9,10,12,4,9,3,0,0,5,4,26,L
22000028,Jazz,3,8,25,1,10,9,12,9,12,2,1,1,4,7,26,L
22000028,Jazz,4,11,24,4,9,6,9,2,9,3,3,1,2,5,32,L
22000028,Timberwolves,1,11,24,3,6,6,7,3,8,3,3,3,2,5,31,W
